CHỦ ĐỀ: MÔI TRƯỜNG,,,,,,,,,,,,,,,,,,,,,,,,
STT,Câu hỏi Tiếng Anh,Câu trả lời Tiếng Anh,,,,,,,,,,,,,,,,,,,,,,
1,Do you use reusable bags instead of plastic ones?,"Yes, I always carry my own bag.",,,,,,,,,,,,,,,,,,,,,,
2,What products can we use to reduce water pollution?,"Finally, we can reduce water pollution by using green products and avoiding single-use products like plastic bags.",,,,,,,,,,,,,,,,,,,,,,
3,What role do governments play in environmental protection?,"They create laws, regulations, and policies to protect natural resources.",,,,,,,,,,,,,,,,,,,,,,
4,Do you think pollution is a problem today?,"Yes, I think pollution is a problem today. It’s one of the most pressing issues facing our planet.",,,,,,,,,,,,,,,,,,,,,,
5,Do you think food waste is a problem?,"Yes, it wastes resources and creates more trash.",,,,,,,,,,,,,,,,,,,,,,
6,What do you know about climate change?,It’s a change in weather patterns due to human activities.,,,,,,,,,,,,,,,,,,,,,,
7,Do you think you’ve done enough to protect the environment?  ,"No definitely not, I still throw away various single-use plastic products every day. Currently, there aren’t any recycling programmes where I live. I hope this will change soon.",,,,,,,,,,,,,,,,,,,,,,
8,What can you do to help the environment?,"I think I can help by recycling more and using less plastic, like bringing my own bags when I go shopping",,,,,,,,,,,,,,,,,,,,,,
9,Do you think it’s important to plant trees?,"Yes, trees clean the air and provide oxygen.",,,,,,,,,,,,,,,,,,,,,,
10,Do you think air pollution is a problem in your city?,"Yes, there’s a lot of smoke from cars and factories.",,,,,,,,,,,,,,,,,,,,,,
11,What do you do to stop wasting food?,I eat leftovers and don’t buy too much food,,,,,,,,,,,,,,,,,,,,,,
12,Do you think people should use less plastic?,"Yes, because plastic harms animals and the environment.",,,,,,,,,,,,,,,,,,,,,,
13,What is the biggest cause of climate change?,Burning fossil fuels like coal and oil.,,,,,,,,,,,,,,,,,,,,,,
14,What do you know about recycling?,"It reduces waste by turning old things into new ones, and it also saves resources like trees and metals, which helps protect the environment.",,,,,,,,,,,,,,,,,,,,,,
15,What can we do to stop global warming?,"We can use bicycles instead of cars to reduce emissions, and we can also save energy by turning off appliances when we’re not using them.",,,,,,,,,,,,,,,,,,,,,,
16, Do you take an interest in nature?,I love all wildlife. My garden is the perfect habitat for hedgehogs. They are nocturnal but if I go out after dark with a torch I sometimes see one.,,,,,,,,,,,,,,,,,,,,,,
17,What do you often do to protect the environment?,I use paper bags instead of nylon ones and travel by public transport to reduce pollution.,,,,,,,,,,,,,,,,,,,,,,
18,Do you use renewable energy?,"Yes, I have installed solar panels to utilize renewable energy sources.",,,,,,,,,,,,,,,,,,,,,,
19,What can we do to reduce pollution?,"We can reduce pollution by recycling, using public transport, and conserving energy",,,,,,,,,,,,,,,,,,,,,,
20,Do you think climate change is a serious problem?,"Yes, climate change leads to extreme weather events and threatens biodiversity",,,,,,,,,,,,,,,,,,,,,,
21,How does climate change impact sea levels?,"It causes polar ice to melt and seawater to expand, leading to rising sea levels.",,,,,,,,,,,,,,,,,,,,,,
22,Do you think climate change is a major issue?,"Yes, I believe it is a critical problem that needs urgent action.",,,,,,,,,,,,,,,,,,,,,,
23,Has climate change affected your daily life?,"Not much, but I have noticed hotter summers.",,,,,,,,,,,,,,,,,,,,,,
24,Are you worried about pollution in your city?,"Yes, I see more smog and trash on the streets",,,,,,,,,,,,,,,,,,,,,,
25,Do you trust the quality of tap water in your area?,"Not really, I prefer bottled water.",,,,,,,,,,,,,,,,,,,,,,
26,Do you believe individuals can make a difference in protecting the environment?,"Yes, small actions like recycling and reducing waste contribute to bigger changes when many people participate.",,,,,,,,,,,,,,,,,,,,,,
27,How often do you think about your environmental impact?,"I consider it daily, especially when making choices like using reusable items or conserving energy at home.",,,,,,,,,,,,,,,,,,,,,,
28,Have you noticed changes in your local environment over the past decade?,"Yes, summers are hotter, and there’s more plastic waste in rivers compared to 10 years ago",,,,,,,,,,,,,,,,,,,,,,
29,Do you separate recyclables from regular trash at home?,"Yes, I sort paper, plastic, and glass into separate bins to ensure they’re properly recycled",,,,,,,,,,,,,,,,,,,,,,
30,How do you reduce plastic use in daily life?,"I carry a reusable water bottle, avoid plastic straws, and choose products with minimal packagin",,,,,,,,,,,,,,,,,,,,,,
31,What’s your opinion on single-use plastics?,They should be banned because they pollute oceans and harm marine life unnecessarily,,,,,,,,,,,,,,,,,,,,,,
32,Have you participated in a community clean-up event?,"Yes, I joined a beach clean-up last month and collected over 5 kg of trash",,,,,,,,,,,,,,,,,,,,,,
33,Have you made any energy-saving changes at home?,"I switched to LED bulbs and unplug devices when not in use to cut electricity waste.""",,,,,,,,,,,,,,,,,,,,,,
34,Would you consider buying an electric vehicle?,"Yes, if charging stations become more accessible and prices are affordable",,,,,,,,,,,,,,,,,,,,,,
35,Have you ever donated to wildlife conservation?,"I donated to a rainforest protection fund last year to help save orangutans.""",,,,,,,,,,,,,,,,,,,,,,
36, Do you avoid products linked to deforestation?,I check labels for sustainable palm oil and avoid brands harming rainforests.,,,,,,,,,,,,,,,,,,,,,,
37,Is your country doing enough to address environmental issues?,"No, policies are weak, and enforcement is inconsistent compared to global standards.""",,,,,,,,,,,,,,,,,,,,,,
38,Do you talk to friends/family about environmental issues?,"Yes, I share tips on recycling and energy savings to inspire others.",,,,,,,,,,,,,,,,,,,,,,
39,Do you check air quality before going outside?,Only on hazy days—my phone app gives me alerts when it’s really bad,,,,,,,,,,,,,,,,,,,,,,
40,How serious is plastic pollution in your local area?,It's getting worse every year. I can spot plastic bags stuck in trees after every heavy wind,,,,,,,,,,,,,,,,,,,,,,
41,How would you describe the air quality in your city?,Some mornings it's so hazy I can't even see the buildings across the street - like living in a bowl of soup!,,,,,,,,,,,,,,,,,,,,,,
42,How does water pollution affect marine life?,"It leads to habitat destruction, toxic contamination, and loss of biodiversity.",,,,,,,,,,,,,,,,,,,,,,
43,Do you believe climate change is a serious issue?,"Yes, I think it’s one of the biggest threats to our future.",,,,,,,,,,,,,,,,,,,,,,
44,Would you be willing to pay more for eco-friendly products?,"Yes, but only if the price difference is not too big.",,,,,,,,,,,,,,,,,,,,,,
45,Would you support higher taxes on polluting industries?,"Yes, but only if the money is used for environmental protection.",,,,,,,,,,,,,,,,,,,,,,
